No,Severity,Status,Category,File:Line,Bug Description,Before (พฤติกรรม/โค้ดเดิม),After (พฤติกรรม/โค้ดใหม่),Why it was a bug,Fix Explanation
1,CRITICAL,Fixed,Schema drift,lib/finance.ts:119 / schema.sql:158-175,"incomes ใส่ document_id แต่ schema ไม่มีคอลัมน์นี้ (มีแต่ source_doc_id)","insert: { document_id: ... } → PostgREST error 42703 ""column does not exist""","insert สำเร็จ — เพิ่ม document_id เป็นคอลัมน์ FK ใน incomes table","ทุก createIncome จาก ""บันทึกรายรับจากเอกสาร"" fail เงียบ ๆ → user ไม่เห็น income ของตัวเอง","เพิ่ม `document_id uuid references documents(id) on delete set null` พร้อม index และ ALTER TABLE ... add column if not exists เพื่อ migrate database เดิม"
2,CRITICAL,Fixed,Schema drift,lib/finance.ts:121-145 / schema.sql:158-175,"incomes ใส่ description แต่ schema มีแค่ note","insert: { description: ""..."" } → 42703","เพิ่มคอลัมน์ description text default '' ใน incomes","ทุก createIncome fail; updateIncome ที่ส่ง description ก็ fail","เพิ่มคอลัมน์ description แยกจาก note เพื่อให้ frontend ใช้ได้ตามเดิม"
3,CRITICAL,Fixed,Schema drift,lib/finance.ts:140-217 / schema.sql:158-213,"updateIncome/updateExpense set updated_at แต่ทั้ง 2 ตารางไม่มีคอลัมน์นี้","update: { updated_at: now } → 42703 ทุกครั้งที่แก้ income/expense","เพิ่ม updated_at + trigger set_updated_at_incomes/expenses","ทุกการแก้ไข income/expense ใน UI fail หมด user แก้อะไรไม่ได้เลย","เพิ่ม column updated_at timestamptz + auto-update trigger ที่เรียก set_updated_at()"
4,CRITICAL,Fixed,Schema drift,lib/finance.ts:198-224 / schema.sql:203-213,"expenses ใส่ vendor + vat_amount แต่ schema ไม่มี (มีแต่ receipt_url)","createExpense fail ด้วย 42703","เพิ่มคอลัมน์ vendor text + vat_amount numeric ใน expenses","สร้าง expense ใหม่ไม่ได้เลย — ฟีเจอร์รายจ่ายพังทั้งหมด","ALTER TABLE expenses ADD COLUMN IF NOT EXISTS vendor + vat_amount พร้อม default"
5,CRITICAL,Fixed,Schema drift,lib/subscriptions.ts:72-106 / schema.sql:281-299,"subscriptions ใส่ active+notify_days แต่ schema มี is_active และไม่มี notify_days","insert/update fail; list ได้ค่า undefined","Rename schema is_active → active; เพิ่ม notify_days int default 7","Subscriptions CRUD พังทั้งระบบ","ทำ DO $$ … END $$ block migrate ข้อมูลเดิมจาก is_active → active แล้วลบ is_active; เพิ่ม notify_days; ลบ next_billing_date ซ้ำซ้อน"
6,CRITICAL,Fixed,Schema drift,lib/suppliers.ts:105-128 / schema.sql:325-340,"suppliers ใส่ address แต่ schema ไม่มี (มี line_id, website, hourly_rate แทน)","createSupplier/updateSupplier fail ด้วย 42703","เพิ่มคอลัมน์ address text default '' ใน suppliers","สร้าง/แก้ supplier ไม่ได้เลย","ALTER TABLE suppliers ADD COLUMN IF NOT EXISTS address"
7,CRITICAL,Fixed,RLS hole,schema.sql:411,"feedback_insert_anyone ใช้ with check (true) — anon ใส่ user_id ปลอมได้","ใครก็ตั้ง user_id ของคนอื่นแล้ว submit feedback ได้","policy with check ตรวจ user_id is null OR user_id = auth.uid()","Anon spoof user_id ของคนอื่น → ทำให้ feedback list ของ admin เพี้ยน","เปลี่ยน policy เป็น feedback_insert_own_or_anon: anon ต้อง user_id NULL, authenticated ต้อง = auth.uid()"
8,CRITICAL,Fixed,RLS hole,schema.sql:438-441,"active_sessions_upsert/update_anyone ใช้ true — ใครก็ปลอม session ของคนอื่นได้","authenticated user A เขียนทับ row ของ B ได้","policy with check user_id is null OR user_id = auth.uid()","activeUsers stat ของ admin ถูก poison ได้ + เปลี่ยน user_id ของ session คนอื่น","สร้าง active_sessions_insert_own_or_anon + active_sessions_update_own_or_anon ที่ enforce user_id match"
9,CRITICAL,Fixed,RLS hole,schema.sql:410-411,"activity_log_insert_anyone — anon ใส่ user_id อะไรก็ได้","spam log แทน user คนอื่นได้","activity_log_insert_own_or_anon ตรวจ user_id is null OR = auth.uid()","Audit log ปลอมแปลงได้","เปลี่ยน policy ให้ enforce ownership เหมือน feedback"
10,CRITICAL,Fixed,Auto-save race,lib/documents.tsx:225-238,"setData() เร็ว ๆ ก่อนมี activeId → debounce ยิง createDocument 2 ครั้ง → เอกสารซ้ำ","กดเร็ว ๆ ตอนเปิด new doc ครั้งแรก → ได้ document 2 row","ใช้ creatingRef.current flag กัน — return ทันทีถ้ามี create กำลังวิ่ง","ข้อมูล user ซ้ำซ้อนใน Supabase, list documents มีรายการเหมือนกัน 2 อัน","เพิ่ม `creatingRef` boolean ref; ใน performSave check `if (creatingRef.current) return` ก่อนเรียก createDocument"
11,CRITICAL,Fixed,Auto-save race,lib/documents.tsx:208-263,"performSave closure ค้าง activeId เก่า — แก้ doc A คลิก B ภายใน 500ms → save data A ลง B","Editing doc A → click doc B → ข้อมูลของ A เพิ่งพิมพ์ถูก save ลง row ของ B","performSave อ่านจาก userRef/activeIdRef/activeTypeRef/activeClientIdRef/dataRef ที่ sync ทุก render","ข้อมูล user สูญหายและทับกันมั่ว","สร้าง ref ทุกตัว set ใน body ทุก render; performSave dependent on [] (no closure issues); setData ใช้ dataRef.current ใน setTimeout"
12,CRITICAL,Fixed,Auto-save race,lib/documents.tsx:117-131,"Logout ขณะ saveTimer ยังไม่ fire → save ทำงานตอน user = null → 401","User กด logout → 500ms ต่อมา background save call ไปยัง Supabase แล้ว fail","Logout effect clear saveTimer + profileTimer ก่อน early-return","Save error log noisily + อาจเขียน local draft ทับ remote data ในกรณีที่ผิด","Logout branch ใน useEffect: clearTimeout saveTimer.current + profileTimer.current ก่อน setActiveId(null) ทำให้ pending save ไม่ทำงาน"
13,CRITICAL,Fixed,Auto-save race,lib/documents.tsx:206-244,"setTimeout 1500ms เรียก setSaveStatus(null) โดยไม่ clear ตอน unmount","React warn ""setState on unmounted component"" + memory leak","savedStatusTimer ref + cleanup ใน main mount effect + mountedRef.current guard","StrictMode warning + potential memory leak จาก dangling closure","สร้าง savedStatusTimer ref; cleanup ใน return ของ effect; setSaveStatus guard ด้วย mountedRef.current"
14,CRITICAL,Fixed,Auth gate,app/print/page.tsx:69-75,"/print ไม่มี auth check — ใครเดา URL ก็เห็น","Logged-out user เปิด /print เห็น DEFAULT_QUOTE หรือ data จาก context (privacy leak)","PrintAuthGate ('use client') ห่อ children — redirect ไป /auth ถ้า !user","ข้อมูลเอกสารถูก expose; ไม่ใช่ critical พังแต่เป็น privacy concern","สร้าง app/print/PrintAuthGate.tsx ('use client') ที่ใช้ useAuth() + router.replace('/auth'); layout.tsx ห่อ children ด้วย component นี้"
15,CRITICAL,Fixed,React infinite loop,components/TimelinePanel.tsx:32-38,"useEffect dep includes update — update เปลี่ยน reference ทุก render → loop","แอปค้าง / spike CPU เมื่อมี milestones ที่ build ไม่ตรงกับ data.milestones","ใช้ updateRef.current แทน — dep array ตัด update ออก","Render loop infinite (50+ commits/sec) เปลือง CPU + battery + ปล่อย call onUpdate ไม่จบ","สร้าง updateRef = useRef(update); updateRef.current = update ทุก render; effect deps มีแค่ [computedMilestones, data.milestones]; serialize เพิ่ม label+type ด้วย"
16,HIGH,Fixed,Admin policy,schema.sql:62-239,"profiles/clients/documents/incomes/expenses *_admin_all เป็น FOR SELECT only แต่ชื่อหลอกว่า all","Admin select ได้ แต่ update/delete user อื่นไม่ได้","ทุก *_admin_all เป็น FOR ALL using (is_admin()) with check (is_admin())","Admin tools ที่จะ update profile/document user คนอื่นโดน RLS block","เปลี่ยน 5 policy จาก ""for select"" เป็น ""for all"" with both using และ check clause"
17,HIGH,Fixed,Repository safety,lib/repository.ts:248-479,"getClient/updateClient/deleteClient/getDocument/updateDocument/deleteDocument ไม่ filter user_id","พึ่ง RLS อย่างเดียว — ถ้า RLS ผิด → cross-tenant leak","เพิ่ม .eq(""user_id"", auth.user.id) ทุก query และตรวจ auth ก่อนทำ","Defense-in-depth หายไป — ถ้า policy ผิดพลาด leak data ทันที","ทุก function: getUser() ก่อน + ต่อ .eq('user_id', auth.user.id) ในการ query/update/delete + คืน null/throw ตามบริบท"
18,HIGH,Fixed,Repository safety,lib/repository.ts:302-319,"findClientByName ใช้ ilike ไม่ escape % กับ _","ชื่อ '%' จะ match ลูกค้าทุกคน → attach client ผิดอัตโนมัติ","สร้าง escapeIlike() ที่ escape backslash + % + _","Wrong client attached ถ้าชื่อมี wildcard","สร้าง util escapeIlike(s) = s.replace(/([\\\\%_])/g, '\\\\$1') แล้วเรียก ilike(""name"", escapeIlike(trimmed))"
19,HIGH,Fixed,Calc bug,lib/calc.ts:65,"Math.ceil(price/10)*10 ทำให้ service ฿5 + difficulty% เปลี่ยนเป็น ฿10 (2 เท่า)","ราคา 5 + 15% → raised=5.75 → Math.ceil(5.75/10)*10 = 10","ถ้า raised < 10 ใช้ Math.round(raised*100)/100 (2 ทศนิยม); else ปัดถึง 10 เหมือนเดิม","Cheap services โดน double-charge แบบเงียบ ๆ","เพิ่ม guard ""raised >= 10 ? ceil-to-10 : round-to-2decimals"" — ปัดสวยเฉพาะราคาใหญ่"
